instance,solver,score,time_sec,feasible,gap,extras
local_optima_s1005_i5,mip_highs,40.0,0.0032933749607764184,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1005_i5,dimod_sa,-inf,14.126912667008583,False,,
local_optima_s1005_i5,bnb,40.0,0.9256129169953056,True,,{'nodes': 210767}
local_optima_s1006_i6,greedy,32.0,5.5958982557058334e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1006_i6,local_search,15.4,0.00012937496649101377,True,,
local_optima_s1006_i6,cpsat,40.0,0.0034853339893743396,True,5.3338272465452974e-05,{'status': 4}
local_optima_s1006_i6,mip_highs,40.0,0.005074125016108155,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1006_i6,dimod_sa,-inf,14.304932707978878,False,,
local_optima_s1006_i6,bnb,40.0,0.967552040994633,True,,{'nodes': 214567}
local_optima_s1007_i7,greedy,32.0,6.066699279472232e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1007_i7,local_search,15.4,0.00013816700084134936,True,,
local_optima_s1007_i7,cpsat,40.0,0.003958040964789689,True,5.17422591812533e-05,{'status': 4}
local_optima_s1007_i7,mip_highs,40.0,0.004863417008891702,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1007_i7,dimod_sa,-inf,14.383471457986161,False,,
local_optima_s1007_i7,bnb,40.0,0.927653958031442,True,,{'nodes': 210267}
local_optima_s1008_i8,greedy,32.0,6.387499161064625e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1008_i8,local_search,15.4,0.000149125000461936,True,,
local_optima_s1008_i8,cpsat,40.0,0.0038385840016417205,True,5.262486673274225e-05,{'status': 4}
local_optima_s1008_i8,mip_highs,40.0,0.005089999991469085,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1008_i8,dimod_sa,-inf,14.850130292004906,False,,
local_optima_s1008_i8,bnb,40.0,0.9629497089772485,True,,{'nodes': 215537}
local_optima_s1009_i9,greedy,32.0,5.887501174584031e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1009_i9,local_search,15.508301632999183,0.0001384579809382558,True,,
local_optima_s1009_i9,cpsat,40.0,0.005336834001354873,True,5.032837101026644e-05,{'status': 4}
local_optima_s1009_i9,mip_highs,40.0,0.0030799999949522316,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1009_i9,dimod_sa,-inf,14.278291082999203,False,,
local_optima_s1009_i9,bnb,40.0,0.9319293329608627,True,,{'nodes': 208957}
tree_showcase_s2000_i0,greedy,62.59387937828612,7.29589955881238e-05,True,,"{'selected': [1, 2, 3, 4, 5, 6, 7, 8, 10, 13]}"
tree_showcase_s2000_i0,local_search,69.38146427806561,0.0006416669930331409,True,,
tree_showcase_s2000_i0,cpsat,81.9053851201839,0.0033169169910252094,True,0.0,{'status': 4}
tree_showcase_s2000_i0,mip_highs,81.9053851201839,0.004721875011455268,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2000_i0,dimod_sa,-inf,8.619590416026767,False,,
tree_showcase_s2000_i0,bnb,81.9053851201839,0.0219162919675,True,,{'nodes': 4273}
tree_showcase_s2001_i1,greedy,55.40612493938296,9.020796278491616e-05,True,,"{'selected': [0, 1, 2, 4, 6, 7, 9, 10, 11, 13]}"
tree_showcase_s2001_i1,local_search,55.40612493938296,0.0014147909823805094,True,,
tree_showcase_s2001_i1,cpsat,55.40612493938296,0.003262916987296194,True,4.151590637491154e-06,{'status': 4}
tree_showcase_s2001_i1,mip_highs,55.40612493938296,0.004236999957356602,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2001_i1,dimod_sa,-inf,8.599400750012137,False,,
tree_showcase_s2001_i1,bnb,55.40612493938296,0.016035165986977518,True,,{'nodes': 3301}
tree_showcase_s2002_i2,greedy,61.786096520663186,8.170795626938343e-05,True,,"{'selected': [1, 2, 3, 4, 5, 6, 9, 11, 12, 13]}"
tree_showcase_s2002_i2,local_search,61.786096520663186,0.0009887919877655804,True,,
tree_showcase_s2002_i2,cpsat,61.786096520663186,0.0031107080285437405,True,0.0,{'status': 4}
tree_showcase_s2002_i2,mip_highs,61.786096520663186,0.006171791988890618,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2002_i2,dimod_sa,-inf,8.568697625014465,False,,
tree_showcase_s2002_i2,bnb,61.786096520663186,0.011198207968845963,True,,{'nodes': 1767}
tree_showcase_s2003_i3,greedy,71.76735273610754,7.466704118996859e-05,True,,"{'selected': [0, 1, 2, 3, 6, 8, 9, 10, 11, 12]}"
tree_showcase_s2003_i3,local_search,76.1241670756809,0.00029558304231613874,True,,
tree_showcase_s2003_i3,cpsat,76.1241670756809,0.003314875008072704,True,1.1232550605200231e-06,{'status': 4}
tree_showcase_s2003_i3,mip_highs,76.1241670756809,0.0064508329960517585,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2003_i3,dimod_sa,-inf,8.512344041024335,False,,
tree_showcase_s2003_i3,bnb,76.1241670756809,0.012582958035636693,True,,{'nodes': 2085}
tree_showcase_s2004_i4,greedy,47.70118973696159,7.712497608736157e-05,True,,"{'selected': [1, 4, 5, 6, 7, 8, 9, 10, 11, 13]}"
tree_showcase_s2004_i4,local_search,49.44050428680955,0.0005240829777903855,True,,
tree_showcase_s2004_i4,cpsat,49.44050428680955,0.0032471249578520656,True,0.0,{'status': 4}
tree_showcase_s2004_i4,mip_highs,49.44050428680955,0.004364916996564716,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2004_i4,dimod_sa,-inf,8.66038200003095,False,,
tree_showcase_s2004_i4,bnb,49.44050428680955,0.01002733304630965,True,,{'nodes': 1705}
tree_showcase_s2005_i5,greedy,64.65133468432605,8.070800686255097e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5, 6, 8, 10, 11]}"
tree_showcase_s2005_i5,local_search,67.38485150677893,0.0008879160159267485,True,,
tree_showcase_s2005_i5,cpsat,69.00949053649637,0.0031211249879561365,True,0.0,{'status': 4}
tree_showcase_s2005_i5,mip_highs,69.00949053649637,0.004594374971929938,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2005_i5,dimod_sa,-inf,8.513129999977536,False,,
tree_showcase_s2005_i5,bnb,69.00949053649637,0.011618708027526736,True,,{'nodes': 1981}
tree_showcase_s2006_i6,greedy,60.14726912150502,8.895801147446036e-05,True,,"{'selected': [0, 3, 4, 5, 6, 7, 9, 10, 13]}"
tree_showcase_s2006_i6,local_search,70.5552275258934,0.0009052090463228524,True,,
tree_showcase_s2006_i6,cpsat,70.5552275258934,0.0033108339994214475,True,6.351098316770276e-05,{'status': 4}
tree_showcase_s2006_i6,mip_highs,70.5552275258934,0.00446779205230996,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2006_i6,dimod_sa,-inf,8.800410208001267,False,,
tree_showcase_s2006_i6,bnb,70.5552275258934,0.01051108300453052,True,,{'nodes': 1749}
tree_showcase_s2007_i7,greedy,72.87492948289433,9.341700933873653e-05,True,,"{'selected': [0, 1, 2, 3, 5, 6, 10, 11, 12, 13]}"
tree_showcase_s2007_i7,local_search,72.87492948289433,0.0010167909786105156,True,,
tree_showcase_s2007_i7,cpsat,72.87492948289433,0.0031959170009940863,True,1.3406469022925194e-05,{'status': 4}
tree_showcase_s2007_i7,mip_highs,72.87492948289433,0.004869624972343445,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2007_i7,dimod_sa,-inf,8.877759750001132,False,,
tree_showcase_s2007_i7,bnb,72.87492948289433,0.028936666960362345,True,,{'nodes': 5803}
tree_showcase_s2008_i8,greedy,90.00181339954945,9.61670302785933e-05,True,,"{'selected': [1, 2, 3, 5, 6, 7, 8, 11, 12, 13]}"
tree_showcase_s2008_i8,local_search,87.28607771242255,0.0007787920185364783,True,,
tree_showcase_s2008_i8,cpsat,90.00181339954945,0.003465083020273596,True,0.0,{'status': 4}
tree_showcase_s2008_i8,mip_highs,90.00181339954945,0.0048411659663543105,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2008_i8,dimod_sa,-inf,8.674382125027478,False,,
tree_showcase_s2008_i8,bnb,90.00181339954945,0.01739929203176871,True,,{'nodes': 3461}
tree_showcase_s2009_i9,greedy,85.92151763972686,0.00010316696716472507,True,,"{'selected': [0, 1, 2, 5, 8, 9, 10, 11, 12, 13]}"
tree_showcase_s2009_i9,local_search,83.31403031531491,0.0005306670209392905,True,,
tree_showcase_s2009_i9,cpsat,85.92151763972686,0.0032070419983938336,True,2.4556026346544968e-05,{'status': 4}
tree_showcase_s2009_i9,mip_highs,85.92151763972686,0.004528208053670824,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
tree_showcase_s2009_i9,dimod_sa,-inf,8.687016000039876,False,,
tree_showcase_s2009_i9,bnb,85.92151763972686,0.01100654195761308,True,,{'nodes': 1801}
decomposable_s3000_i0,greedy,24.00000000000001,7.1291986387223e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3000_i0,local_search,15.300000000000004,0.00013995799235999584,True,,
decomposable_s3000_i0,cpsat,24.0,0.0038196250097826123,True,0.0,{'status': 4}
decomposable_s3000_i0,mip_highs,24.00000000000001,0.004635167017113417,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3000_i0,dimod_sa,-inf,14.376440125051886,False,,
decomposable_s3000_i0,bnb,24.0,0.9241055409656838,True,,{'nodes': 173909}
decomposable_s3001_i1,greedy,24.00000000000001,6.870902143418789e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3001_i1,local_search,15.300000000000004,0.00014183303574100137,True,,
decomposable_s3001_i1,cpsat,24.0,0.004019999993033707,True,0.0,{'status': 4}
decomposable_s3001_i1,mip_highs,24.00000000000001,0.004631916992366314,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3001_i1,dimod_sa,-inf,14.706547458015848,False,,
decomposable_s3001_i1,bnb,24.0,0.9134030829882249,True,,{'nodes': 173909}
decomposable_s3002_i2,greedy,24.00000000000001,6.9500005338341e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3002_i2,local_search,15.300000000000004,0.00014079100219532847,True,,
decomposable_s3002_i2,cpsat,24.0,0.003887041995767504,True,0.0,{'status': 4}
decomposable_s3002_i2,mip_highs,24.00000000000001,0.0047984999837353826,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3002_i2,dimod_sa,-inf,14.285022666968871,False,,
decomposable_s3002_i2,bnb,24.0,0.9141323330113664,True,,{'nodes': 173909}
decomposable_s3003_i3,greedy,24.00000000000001,6.81670499034226e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3003_i3,local_search,15.300000000000004,0.00014291598927229643,True,,
decomposable_s3003_i3,cpsat,24.0,0.003975624975282699,True,0.0,{'status': 4}
decomposable_s3003_i3,mip_highs,24.00000000000001,0.004929374961648136,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
decomposable_s3003_i3,dimod_sa,-inf,14.293297874974087,False,,
decomposable_s3003_i3,bnb,24.0,0.9079815000295639,True,,{'nodes': 173909}
decomposable_s3004_i4,greedy,24.00000000000001,6.824999582022429e-05,True,,"{'selected': [0, 1, 2, 3, 4, 5]}"
decomposable_s3004_i4,local_search,15.300000000000004,0.00014687498332932591,True,,
decomposable_s3004_i4,cpsat,24.0,0.004091417009476572,True,0.0,{'status': 4}
