method,family,trial_count,instance_count,feasibility,mean_gap,median_gap,best_gap,mean_best_of_five_gap,mean_tour_length,runtime_mean,runtime_stddev,mean_within_instance_gap_stddev,max_within_instance_gap_stddev
nearest_neighbor,kroc,5,1,1.0,0.14029591787556026,0.14029591787556026,0.14029591787556026,0.14029591787556026,23660.0,0.04639613619074225,0.00025553135019935815,0.0,0.0
nearest_neighbor,krod,5,1,1.0,0.1670893209354748,0.1670893209354748,0.1670893209354748,0.1670893209354748,24852.0,0.04634180215653032,0.00044475285727260693,0.0,0.0
nearest_neighbor,kroe,5,1,1.0,0.12298350552836687,0.12298350552836687,0.12298350552836687,0.12298350552836687,24782.0,0.046495564025826754,0.0005044005400502043,0.0,0.0
nearest_neighbor,pr,5,1,1.0,0.21044943093038954,0.2104494309303895,0.2104494309303895,0.2104494309303895,130921.0,0.02002546200528741,0.00034031942918091857,0.0,0.0
nearest_neighbor,rat,5,1,1.0,0.18662262592898432,0.18662262592898432,0.18662262592898432,0.18662262592898432,1437.0,0.043130790791474284,0.0002737400151566743,0.0,0.0
nearest_neighbor,rd,5,1,1.0,0.19127686472819216,0.19127686472819216,0.19127686472819216,0.19127686472819216,9423.0,0.04686558758839965,0.00014107228272077074,0.0,0.0
nearest_neighbor,st,5,1,1.0,0.17925925925925926,0.17925925925925926,0.17925925925925926,0.17925925925925926,796.0,0.015450966591015459,6.872136986439316e-05,0.0,0.0
insertion,berlin,5,1,1.0,0.1422699549191196,0.1422699549191196,0.1422699549191196,0.1422699549191196,8615.0,0.0043702844064682726,2.5638420001550727e-05,0.0,0.0
insertion,eil,10,2,1.0,0.11610991849486012,0.11610991849486012,0.10780669144981413,0.11610991849486012,537.5,0.007805800705682486,0.004184809989527019,0.0,0.0
insertion,kroa,5,1,1.0,0.14162202800488677,0.14162202800488677,0.14162202800488677,0.14162202800488677,24296.0,0.031382704991847275,0.00013065630445282357,0.0,0.0
insertion,krob,5,1,1.0,0.1734790659861795,0.1734790659861795,0.1734790659861795,0.1734790659861795,25982.0,0.03148646517656743,0.0003341273356117123,0.0,0.0
insertion,kroc,5,1,1.0,0.19080437611451154,0.19080437611451154,0.19080437611451154,0.19080437611451154,24708.0,0.0315494844224304,0.0003946374899546147,0.0,0.0
insertion,krod,5,1,1.0,0.17432140509063587,0.17432140509063587,0.17432140509063587,0.17432140509063587,25006.0,0.03180181577336043,0.00030974155162978296,0.0,0.0
insertion,kroe,5,1,1.0,0.08899764364690955,0.08899764364690955,0.08899764364690955,0.08899764364690955,24032.0,0.03138193716295064,0.00019918694507413366,0.0,0.0
insertion,pr,5,1,1.0,0.08472711471074991,0.08472711471074991,0.08472711471074991,0.08472711471074991,117323.0,0.013418370019644498,0.00013849234586334538,0.0,0.0
insertion,rat,5,1,1.0,0.1370767960363336,0.1370767960363336,0.1370767960363336,0.1370767960363336,1377.0,0.026598935993388296,0.00011878525280530286,0.0,0.0
insertion,rd,5,1,1.0,0.12541087231352718,0.12541087231352718,0.12541087231352718,0.12541087231352718,8902.0,0.030703123402781786,0.0001262534828752171,0.0,0.0
insertion,st,5,1,1.0,0.14222222222222222,0.14222222222222222,0.14222222222222222,0.14222222222222222,771.0,0.009268974955193698,7.95351355757181e-05,0.0,0.0
two_opt,berlin,5,1,1.0,0.01654733492442323,0.020949350304958897,0.007159904534606206,0.007159904534606206,7666.8,0.29396049899514765,0.004216410611499606,0.006557765793441179,0.006557765793441179
two_opt,eil,10,2,1.0,0.02402481805330122,0.024259559837338778,0.01643192488262911,0.023085850917150985,493.9,0.4655041851801798,0.2565439275843971,0.0004694835680751172,0.0009389671361502344
two_opt,kroa,5,1,1.0,0.005027722958368575,0.005027722958368575,0.005027722958368575,0.005027722958368575,21389.0,2.4247457729885356,0.016081859313451283,0.0,0.0
two_opt,krob,5,1,1.0,0.019113861162549116,0.020414615419357754,0.011517094982159795,0.011517094982159795,22564.2,2.395149758202024,0.015183641158736995,0.003963157776809876,0.003963157776809876
two_opt,kroc,5,1,1.0,0.020203383295580513,0.02327823027615789,0.007903995373271001,0.007903995373271001,21168.2,2.4263392792083325,0.020184198760730698,0.006149693961154755,0.006149693961154755
two_opt,krod,5,1,1.0,0.018878557340095803,0.019958673804827652,0.006809429886352963,0.006809429886352963,21696.0,2.385798475984484,0.01902342798736152,0.00774179931854378,0.00774179931854378
two_opt,kroe,5,1,1.0,0.01641290556461845,0.01803516403842668,0.009923871669385536,0.009923871669385536,22430.2,2.3749445769935846,0.00856998925429371,0.003244516947616458,0.003244516947616458
two_opt,pr,5,1,1.0,0.008842537375530469,0.009310367144666648,0.0013406189036511062,0.0013406189036511062,109115.4,0.9692115629790351,0.011915671213873344,0.004675561933880753,0.004675561933880753
two_opt,rat,5,1,1.0,0.038150289017341035,0.03963666391412056,0.03220478943022296,0.03220478943022296,1257.2,1.8359084071824328,0.016579625382392306,0.0029727497935590403,0.0029727497935590403
two_opt,rd,5,1,1.0,0.02470290771175727,0.028192161820480406,0.012515802781289507,0.012515802781289507,8105.4,2.360689727170393,0.016349930009435455,0.0071361301014738875,0.0071361301014738875
two_opt,st,5,1,1.0,0.012148148148148148,0.011851851851851851,0.007407407407407408,0.007407407407407408,683.2,0.6138439540052787,0.0019471639982119107,0.00462829610424098,0.00462829610424098
ortools_single_worker,berlin,5,1,1.0,0.0,0.0,0.0,0.0,7542.0,5.08491232143715,0.013093187070029383,0.0,0.0
ortools_single_worker,eil,10,2,1.0,0.0009293680297397768,0.0009293680297397769,0.0,0.0009293680297397769,482.5,5.114189322071615,0.039858028539817326,0.0,0.0
ortools_single_worker,kroa,5,1,1.0,0.0,0.0,0.0,0.0,21282.0,5.170933539629914,0.03903467977494448,0.0,0.0
ortools_single_worker,krob,5,1,1.0,0.0026195745449618356,0.0026195745449618356,0.0026195745449618356,0.0026195745449618356,22199.0,5.115095242997631,0.015155937958953019,0.0,0.0
ortools_single_worker,kroc,5,1,1.0,0.012578919465998362,0.01257891946599836,0.01257891946599836,0.01257891946599836,21010.0,5.106942310743034,0.010799692253802784,0.0,0.0
ortools_single_worker,krod,5,1,1.0,0.02056917441532826,0.02056917441532826,0.02056917441532826,0.02056917441532826,21732.0,5.0980434488039466,0.005461061321800867,0.0,0.0
ortools_single_worker,kroe,5,1,1.0,0.015996012325539242,0.015996012325539242,0.015996012325539242,0.015996012325539242,22421.0,5.1510949450079355,0.0389015408085326,0.0,0.0
ortools_single_worker,pr,5,1,1.0,0.008173152488466055,0.008173152488466055,0.008173152488466055,0.008173152488466055,109043.0,5.115688459784724,0.009702082497929141,0.0,0.0
ortools_single_worker,rat,5,1,1.0,0.03303055326176713,0.03303055326176713,0.03303055326176713,0.03303055326176713,1251.0,5.124037277814932,0.024517031157115263,0.0,0.0
ortools_single_worker,rd,5,1,1.0,0.018710493046776234,0.018710493046776234,0.018710493046776234,0.018710493046776234,8058.0,5.088614287180826,0.011091923350062113,0.0,0.0
ortools_single_worker,st,5,1,1.0,0.0,0.0,0.0,0.0,675.0,5.07696178923361,0.002535975340415624,0.0,0.0
