seed,condition,method,instance,family,n_cities,repetition,trial_seed,feasible,tour_length,optimum,optimality_gap,runtime_seconds,status,solver_sha256
101,trained,trained,pr76,pr,76,0,2636516344,True,113404.0,108159.0,0.0484934217217245,0.8275269489968196,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,pr76,pr,76,1,941969900,True,113404.0,108159.0,0.0484934217217245,0.8241194060537964,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,pr76,pr,76,2,2034000282,True,113404.0,108159.0,0.0484934217217245,0.8421261780895293,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,pr76,pr,76,3,3549550571,True,113404.0,108159.0,0.0484934217217245,0.8205139810452238,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,pr76,pr,76,4,4226599141,True,113404.0,108159.0,0.0484934217217245,0.8240946710575372,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rat99,rat,99,0,1712824841,True,1259.0,1211.0,0.03963666391412056,1.489587131072767,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rat99,rat,99,1,1492853361,True,1259.0,1211.0,0.03963666391412056,1.4785014889203012,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rat99,rat,99,2,3153518655,True,1259.0,1211.0,0.03963666391412056,1.48320972698275,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rat99,rat,99,3,3708206479,True,1259.0,1211.0,0.03963666391412056,1.4793608849868178,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rat99,rat,99,4,2971822530,True,1259.0,1211.0,0.03963666391412056,1.474543050979264,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,rd100,rd,100,0,1162887967,True,8347.0,7910.0,0.05524652338811631,2.237052676966414,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
