method,n_cities,trial_count,instance_count,feasibility,mean_gap,median_gap,best_gap,mean_best_of_five_gap,mean_tour_length,runtime_mean,runtime_stddev,mean_within_instance_gap_stddev,max_within_instance_gap_stddev
two_opt,52,5,1,1.0,0.01654733492442323,0.020949350304958897,0.007159904534606206,0.007159904534606206,7666.8,0.29396049899514765,0.004216410611499606,0.006557765793441179,0.006557765793441179
two_opt,70,5,1,1.0,0.012148148148148148,0.011851851851851851,0.007407407407407408,0.007407407407407408,683.2,0.6138439540052787,0.0019471639982119107,0.00462829610424098,0.00462829610424098
two_opt,76,10,2,1.0,0.019291157163601667,0.022002905608021456,0.0013406189036511062,0.015540197927661984,54834.7,0.8455886377720162,0.12406981054342442,0.0023377809669403765,0.004675561933880753
two_opt,99,5,1,1.0,0.038150289017341035,0.03963666391412056,0.03220478943022296,0.03220478943022296,1257.2,1.8359084071824328,0.016579625382392306,0.0029727497935590403,0.0029727497935590403
two_opt,100,30,6,1.0,0.01738988967216162,0.018637743710193874,0.005027722958368575,0.008949652941804562,19558.833333333332,2.3946112650912257,0.02923863541416024,0.004705883017599793,0.00774179931854378
ortools_single_worker,51,5,1,1.0,0.0,0.0,0.0,0.0,426.0,5.1001005887752395,0.0070919972056599735,0.0,0.0
ortools_single_worker,52,5,1,1.0,0.0,0.0,0.0,0.0,7542.0,5.08491232143715,0.013093187070029383,0.0,0.0
ortools_single_worker,70,5,1,1.0,0.0,0.0,0.0,0.0,675.0,5.07696178923361,0.002535975340415624,0.0,0.0
ortools_single_worker,76,10,2,1.0,0.005015944273972805,0.005015944273972804,0.0018587360594795538,0.005015944273972804,54791.0,5.121983257576358,0.038101332032329405,0.0,0.0
ortools_single_worker,99,5,1,1.0,0.03303055326176713,0.03303055326176713,0.03303055326176713,0.03303055326176713,1251.0,5.124037277814932,0.024517031157115263,0.0,0.0
ortools_single_worker,100,30,6,1.0,0.011745695633100656,0.014287465895768802,0.0,0.011745695633100656,19450.333333333332,5.121787295727215,0.038166069950334044,0.0,0.0
